Modelo_Marca,Perdidas_Normal,Tipo_Combustible,Aspiracion,Num_Puertas,Estilo_Carroceria,Ruedas_Motrices,Distancia_Entre_Ejes,Longitud,Ancho,Altura,Peso_Vacio,Tipo_Motor,Num_Cilindros,Tamano_Motor,Sis_combustible,Diametro_Interior,Carrera,Relacion_Compresion,Potencia,RPM_Max,Galones_Ciudad,Galones_Carretera,PRECIO
C172_toyota,77,gas,std,four,wagon,fwd,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37,6918
C080_mitsubishi,,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,2833,ohc,four,156,otros,3.58,3.86,7,145,5000,19,24,12629
C077_honda,85,gas,std,four,sedan,fwd,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945
C125_dodge,110,gas,std,four,wagon,fwd,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921
C162_nissan,128,gas,std,two,sedan,fwd,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299
C013_mercedes-benz,93,diesel,turbo,four,sedan,rwd,115.6,202.6,71.7,56.3,3770,ohc,otros,183,idi,3.58,3.64,21.5,123,4350,22,25,31600
C141_nissan,103,gas,std,four,wagon,fwd,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999
C002_bmw,,gas,std,two,sedan,rwd,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315
C130_mitsubishi,153,gas,std,two,hatchback,fwd,96.3,173,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499
C009_mercedes-benz,,gas,std,four,sedan,rwd,115.6,202.6,71.7,56.5,3740,otros,otros,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184
C084_peugot,161,gas,std,four,sedan,rwd,107.9,186.7,68.4,56.7,3020,otros,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900
C099_mazda,129,gas,std,two,hatchback,fwd,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595
C025_bmw,188,gas,std,two,sedan,rwd,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970
C170_mitsubishi,125,gas,std,four,sedan,fwd,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989
C149_nissan,128,gas,std,two,hatchback,fwd,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799
C059_peugot,161,gas,std,four,sedan,rwd,107.9,186.7,68.4,56.7,3075,otros,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580
C046_peugot,,gas,std,four,wagon,rwd,114.2,198.9,68.4,56.7,3285,otros,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695
C158_nissan,122,gas,std,four,sedan,fwd,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499
C098_toyota,65,diesel,turbo,four,sedan,fwd,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33,10698
C110_renault,,gas,std,two,hatchback,fwd,96.1,176.8,66.6,50.5,2460,ohc,four,132,mpfi,3.46,3.9,8.7,,,23,31,9895
C175_mazda,104,gas,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795
C124_plymouth,74,gas,std,four,wagon,fwd,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921
C023_volvo,95,gas,std,four,sedan,rwd,109.1,188.8,68.9,55.5,3012,otros,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485
C127_mazda,129,gas,std,two,hatchback,fwd,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845
C027_volvo,95,gas,turbo,four,sedan,rwd,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045
C056_toyota,,gas,std,four,wagon,rwd,104.5,187.8,66.5,54.1,3151,otros,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750
C053_bmw,192,gas,std,two,sedan,rwd,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430
C073_volvo,74,gas,std,four,wagon,rwd,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415
C094_isuzu,,gas,std,two,hatchback,rwd,96,172.6,65.2,51.4,2734,ohc,four,119,otros,3.43,3.23,9.2,90,5000,24,29,11048
